SP500,APPL,TSLA,MSFT,AMZN,COST
267.58,43.75,22.11,85.5,58.74,186.8
267.51,43.75,21.68,85.51,58.42,186.63
267.19,42.64,21.15,85.4,58.84,186.55
267.32,42.65,20.78,85.71,59.11,186.3
267.87,42.77,21.02,85.72,59.31,186.62
266.86,42.31,20.76,85.54,58.47,186.12
268.77,43.07,21.37,85.95,59.45,188.32
270.47,43.06,21.15,86.35,60.21,190.58
271.61,43.26,20.97,87.11,60.48,189.1
273.42,43.75,21.11,88.19,61.46,187.75
273.92,43.59,22.43,88.28,62.34,188.48
274.54,43.58,22.25,88.22,62.64,186.29
274.12,43.57,22.32,87.82,62.72,185.42
276.12,43.82,22.53,88.08,63.83,189.38
277.92,44.27,22.41,89.6,65.26,191.84
276.97,44.05,22.67,88.35,65.24,191.53
279.61,44.78,23.14,90.14,64.75,192.29
279.14,44.82,22.97,90.1,64.67,191.51
280.41,44.62,23.33,90.0,64.73,192.29
282.69,44.25,23.44,91.61,66.37,194.38
283.29,44.26,23.52,91.9,68.13,193.42
283.18,43.56,23.06,91.82,67.88,194.24
283.3,42.78,22.51,92.33,68.9,197.95
286.58,42.88,22.86,94.06,70.1,198.91
284.68,41.99,23.3,93.92,70.88,198.32
281.76,41.74,23.05,92.74,71.89,197.91
281.9,41.86,23.62,95.01,72.54,194.87
281.58,41.95,23.28,94.26,69.5,193.47
275.45,40.13,22.92,91.78,71.5,190.99
263.93,39.12,22.21,88.0,69.5,182.77
269.13,40.76,22.26,91.33,72.14,185.01
267.67,39.89,23.0,89.61,70.84,183.19
257.63,38.79,21.02,85.01,67.53,178.61
261.5,39.1,20.69,88.18,66.98,180.72
265.34,40.68,21.05,89.13,69.31,181.06
266.0,41.09,21.58,89.83,70.73,184.15
269.59,41.84,21.49,90.81,72.55,187.35
273.03,43.25,22.27,92.66,73.09,191.48
273.11,43.11,22.37,92.0,72.43,191.56
271.4,42.96,22.32,92.72,73.42,188.12
270.05,42.77,22.22,91.49,74.15,185.75
270.4,43.13,23.08,91.73,74.27,186.59
274.71,43.88,23.47,94.06,75.0,189.81
277.9,44.74,23.83,95.42,76.1,192.81
274.43,44.6,23.4,94.2,75.6,190.1
271.65,44.53,22.87,93.77,75.62,190.9
267.7,43.75,22.06,92.85,74.67,189.03
269.08,44.05,22.34,93.05,75.01,189.33
272.19,44.21,22.22,93.64,76.18,191.48
272.88,44.17,21.88,93.32,76.88,191.46
272.78,43.76,22.15,93.86,77.25,187.36
274.1,44.24,21.94,94.43,77.59,185.69
278.87,45.0,21.81,96.54,78.94,188.58
278.52,45.43,23.03,96.77,79.92,189.37
276.72,44.99,22.79,94.41,79.41,187.46
275.3,44.61,21.78,93.85,79.55,184.63
275.0,44.66,21.71,94.18,79.12,185.51
274.2,44.51,21.42,94.6,78.58,185.87
270.49,43.83,20.9,92.89,77.25,184.15
270.95,43.81,20.7,93.13,79.33,187.35
270.43,42.82,21.1,92.48,79.09,186.07
263.67,42.21,20.61,89.79,77.25,182.64
258.05,41.24,20.1,87.18,74.78,180.84
265.11,43.19,20.28,93.78,77.79,187.22
260.6,42.09,18.61,89.47,74.85,183.15
259.83,41.62,17.19,89.39,71.57,183.61
263.15,41.95,17.74,91.27,72.37,188.43
257.47,41.67,16.83,88.52,68.6,182.75
260.77,42.1,17.84,89.71,69.6,182.61
263.56,42.9,19.13,92.33,70.53,185.52
265.64,43.2,20.38,92.38,72.59,186.25
259.72,42.1,19.95,90.23,70.26,183.96
261.0,42.51,19.31,90.77,70.3,184.41
265.15,43.31,20.31,92.88,71.81,183.55
263.76,43.11,20.06,91.86,71.35,184.65
265.93,43.54,19.61,93.58,72.43,188.82
265.15,43.68,20.02,93.08,71.54,188.91
267.33,43.96,19.41,94.17,72.08,194.58
270.19,44.56,19.18,96.07,75.19,194.58
270.39,44.46,19.56,96.44,76.39,196.51
268.89,43.2,20.01,96.11,77.85,195.07
266.61,41.43,19.35,95.0,76.37,193.56
266.57,41.31,18.89,95.35,75.89,193.35
262.98,40.74,18.9,93.12,73.0,192.51
263.63,40.91,18.71,92.31,73.01,193.97
266.31,41.06,19.03,94.26,75.9,195.26
266.56,40.58,19.61,95.82,78.63,196.58
264.51,41.32,19.59,93.52,78.31,197.16
264.98,42.28,19.99,95.0,79.11,196.55
263.2,44.14,20.08,93.51,78.48,194.0
262.62,44.22,18.96,94.07,78.6,193.01
266.02,45.96,19.61,95.16,79.05,195.19
266.92,46.29,20.18,96.22,80.01,193.06
266.92,46.51,20.13,95.81,79.62,194.48
269.5,46.84,20.46,96.94,80.4,196.04
272.02,47.51,20.33,97.91,80.45,195.45
272.85,47.15,20.07,97.7,80.15,195.76
272.98,47.04,19.46,98.03,80.08,195.88
271.1,46.61,18.95,97.32,78.81,195.48
272.24,47.05,19.1,97.15,79.36,198.71
272.01,46.75,18.97,96.18,79.09,199.6
271.33,46.58,18.97,96.36,78.72,199.6
273.37,46.91,18.97,97.6,79.27,199.62
272.61,46.79,18.33,97.5,79.07,198.97
273.36,47.09,18.6,98.66,80.09,198.14
272.8,47.04,18.52,98.31,80.15,198.89
272.15,47.15,18.59,98.36,80.51,198.36
269.02,46.98,18.92,98.01,80.64,196.74
272.61,46.88,19.45,98.95,81.24,199.64
270.94,46.88,18.98,98.84,81.48,199.64
273.6,47.56,19.45,100.79,82.08,197.13
274.9,47.96,19.78,101.67,83.26,198.62
275.1,48.33,19.41,102.19,84.82,197.84
277.4,48.5,21.3,102.49,84.79,197.66
277.37,48.37,21.07,100.88,84.47,202.57
278.19,47.93,21.18,101.63,84.2,203.76
278.56,47.81,22.14,101.05,84.46,204.5
278.92,48.07,22.85,101.31,84.94,204.88
278.03,47.68,22.99,100.85,85.24,204.11
278.73,47.7,23.85,101.42,86.19,205.12
277.13,47.21,23.88,100.13,85.8,207.32
276.56,47.19,24.72,100.86,86.19,206.21
275.5,46.42,23.5,100.86,86.74,207.53
275.97,46.63,24.15,101.87,87.5,207.98
274.24,46.37,23.17,101.14,86.51,209.96
274.74,46.23,22.24,100.41,85.78,211.1
271.0,45.54,22.2,98.39,83.16,211.75
271.6,46.11,22.8,99.08,84.55,210.09
269.35,46.04,22.97,97.54,83.03,210.03
270.89,46.38,23.33,98.63,85.07,208.71
271.28,46.28,22.86,98.61,84.99,208.98
271.86,46.8,22.34,100.01,85.69,207.99
270.9,45.98,20.72,99.05,84.7,207.12
273.11,46.35,20.61,99.76,84.99,209.14
275.42,46.99,20.59,101.16,85.53,209.62
277.9,47.65,21.23,101.85,86.95,210.94
278.9,47.59,21.5,102.12,87.15,211.7
276.86,46.97,21.26,101.98,87.75,210.95
279.37,47.76,21.11,104.19,89.83,214.02
279.59,47.83,21.26,105.43,90.65,216.54
279.34,47.73,20.67,104.91,91.12,214.85
280.47,47.86,21.51,105.95,92.2,215.0
281.06,47.6,21.59,105.12,92.15,214.97
280.0,47.97,21.35,104.4,90.65,217.54
279.68,47.86,20.91,106.27,90.69,218.69
280.2,47.86,20.21,107.97,90.1,218.84
281.61,48.25,19.83,107.66,91.46,218.58
284.01,48.71,20.58,110.83,93.18,220.7
283.34,48.55,20.44,109.62,90.4,221.72
281.42,47.75,19.81,107.68,90.86,219.65
279.95,47.48,19.34,105.37,88.96,219.11
281.33,47.57,19.88,106.08,88.87,218.71
280.86,50.38,20.06,106.28,89.86,217.13
282.39,51.85,23.3,107.57,91.72,221.12
283.6,52.0,23.21,108.04,91.16,222.03
284.64,52.27,22.8,108.13,92.39,222.72
285.58,51.78,25.3,108.88,93.12,223.86
285.46,51.81,24.69,109.49,94.33,224.58
285.07,52.22,23.5,109.67,94.93,218.24
283.16,51.88,23.7,109.0,94.32,220.31
282.1,52.22,23.76,108.21,94.81,219.56
283.9,52.44,23.18,109.56,95.98,222.0
281.78,52.56,22.58,107.66,94.13,221.67
284.06,53.33,22.36,107.64,94.33,223.19
285.06,54.4,20.37,107.58,94.11,225.68
285.67,53.87,20.56,106.87,93.84,227.35
286.34,53.76,21.46,105.98,94.17,228.54
286.17,53.76,21.44,107.06,95.25,229.21
285.79,53.87,21.34,107.56,95.15,229.51
287.51,54.04,21.52,108.4,95.27,231.28
289.78,54.49,21.28,109.6,96.38,230.03
289.92,54.93,20.79,110.26,96.64,230.26
291.48,55.75,20.33,112.02,99.91,230.19
290.3,56.26,20.21,111.95,100.12,230.83
290.31,56.91,20.11,112.33,100.64,233.13
289.81,57.09,19.26,111.71,101.98,234.68
289.03,56.72,18.72,108.49,99.74,235.61
288.16,55.78,18.73,108.74,97.92,236.68
287.6,55.33,17.55,108.21,97.6,241.46
288.1,54.58,19.03,109.38,96.95,243.18
289.05,55.96,18.63,111.24,99.36,244.21
289.12,55.27,19.37,111.71,99.5,242.44
290.83,56.6,19.3,112.91,99.49,241.27
290.88,55.96,19.68,113.37,98.51,235.38
289.34,54.47,19.66,112.14,95.4,232.0
290.91,54.56,19.0,113.21,97.05,234.35
291.22,54.59,19.93,111.7,96.32,233.85
293.58,55.01,19.89,113.57,97.22,233.92
291.99,54.42,19.94,114.26,95.75,234.76
291.02,55.2,19.98,114.67,96.72,233.34
290.75,55.55,20.07,114.45,98.73,232.93
289.88,55.11,20.64,113.98,98.74,233.81
290.69,56.24,20.5,114.41,100.65,234.0
290.72,56.44,17.65,114.37,100.15,234.88
291.73,56.82,20.71,115.61,100.22,234.65
291.56,57.32,20.07,115.15,98.57,236.35
291.72,58.02,19.65,115.17,97.64,233.2
289.44,57.0,18.79,112.79,95.47,231.68
287.82,56.07,17.46,112.13,94.48,218.82
287.82,55.94,16.7,110.85,93.22,223.93
287.4,56.72,17.52,112.26,93.52,224.17
278.3,54.09,17.13,106.16,87.76,221.05
272.17,53.61,16.82,105.91,85.97,221.82
275.95,55.53,17.25,109.57,89.43,226.95
274.4,54.34,17.31,107.6,88.05,224.51
280.4,55.54,18.44,111.0,91.0,227.68
280.45,55.3,18.12,110.71,91.59,228.49
276.4,54.01,17.59,108.5,88.54,228.58
276.25,54.83,17.33,108.66,88.2,229.67
275.01,55.16,17.4,109.63,89.47,229.06
273.61,55.68,19.61,108.1,88.44,228.75
265.32,53.77,19.23,102.32,83.21,223.76
270.08,54.95,20.99,108.3,89.11,226.4
265.33,54.08,22.06,106.96,82.14,218.19
263.86,53.06,22.32,103.85,76.94,222.42
267.77,53.33,21.99,103.73,76.52,227.92
270.63,54.72,22.49,106.81,79.9,228.63
273.51,55.56,22.95,105.92,83.28,229.6
271.89,51.87,23.09,106.16,83.28,230.16
273.39,50.4,22.76,107.51,81.39,234.45
275.12,50.94,22.74,107.72,82.14,236.71
281.01,52.49,23.21,111.96,87.77,240.37
280.5,52.12,23.43,111.75,87.75,238.7
277.76,51.12,23.37,109.57,85.62,237.74
272.57,48.54,22.09,106.87,81.84,234.48
272.06,48.06,22.58,106.94,81.56,234.14
270.2,46.7,22.93,104.97,79.95,233.31
273.02,47.85,23.23,107.28,80.97,229.94
273.73,48.38,23.62,108.29,79.67,231.02
269.1,46.47,23.56,104.62,75.61,228.74
264.12,44.25,23.17,101.71,74.77,219.31
265.02,44.2,22.55,103.11,75.84,218.57
263.25,43.07,21.72,103.07,75.1,220.06
267.5,43.66,23.07,106.47,79.07,219.45
268.4,43.56,22.93,107.14,79.07,223.01
274.58,45.24,23.19,111.12,83.89,230.34
273.98,44.89,22.74,110.19,83.68,231.0
275.65,44.65,23.37,110.89,84.51,231.28
279.3,46.21,23.9,112.09,88.62,232.08
270.25,44.17,23.98,108.52,83.42,226.35
269.84,43.68,24.2,109.19,84.96,233.2
263.57,42.12,23.86,104.82,81.46,224.86
264.07,42.4,24.34,107.59,82.05,222.66
264.13,42.16,24.45,108.59,82.16,226.5
265.46,42.28,24.44,109.08,83.18,227.8
265.37,42.74,25.12,109.45,82.92,226.51
260.47,41.37,24.38,106.03,79.6,207.06
255.36,40.99,23.23,102.89,76.05,202.23
255.08,41.52,22.47,103.97,77.57,202.99
251.26,40.22,22.2,103.69,74.75,201.41
247.17,39.21,21.03,101.51,73.04,197.13
240.7,37.68,21.32,98.23,68.87,194.52
234.34,36.71,19.69,94.13,67.2,189.99
246.18,39.29,21.74,100.56,73.55,198.63
248.07,39.04,21.08,101.18,73.08,201.08
247.75,39.06,22.26,100.39,73.9,202.04
249.92,39.44,22.19,101.57,75.1,203.71
250.18,39.48,20.67,101.12,76.96,204.76
244.21,35.55,20.02,97.4,75.01,200.42
252.39,37.07,21.18,101.93,78.77,206.24
254.38,36.98,22.33,102.06,81.48,207.0
256.77,37.69,22.36,102.8,82.83,208.55
257.97,38.33,22.57,104.27,82.97,209.9
258.88,38.45,23.0,103.6,82.81,210.64
258.98,38.07,23.15,102.8,82.03,210.51
257.4,37.5,22.29,102.05,80.86,209.0
260.35,38.27,22.96,105.01,83.73,211.03
260.98,38.74,23.07,105.38,84.19,210.18
262.96,38.97,23.15,106.12,84.66,211.46
266.46,39.21,20.15,107.71,84.81,213.59
262.86,38.33,19.93,105.68,81.61,212.4
263.41,38.48,19.17,106.71,82.0,212.09
263.55,38.17,19.43,106.2,82.75,210.31
265.78,39.44,19.8,107.17,83.53,209.07
263.76,39.08,19.76,105.08,81.89,210.77
263.41,38.67,19.83,102.94,79.69,210.31
267.58,41.31,20.58,106.38,83.52,211.35
269.93,41.61,20.47,104.43,85.94,214.63
270.06,41.63,20.81,102.78,81.31,210.27
271.96,42.81,20.86,105.74,81.67,211.18
273.1,43.55,21.42,107.22,82.94,211.61
272.74,43.56,21.15,106.03,82.01,211.6
270.14,42.74,20.5,105.27,80.72,209.05
270.47,42.6,20.39,105.67,79.41,207.75
270.62,42.36,20.86,105.25,79.55,208.72
274.1,42.72,20.79,106.89,81.9,211.9
274.99,42.55,20.54,106.81,82.0,212.8
274.38,42.7,20.25,106.9,81.13,213.84
277.37,42.61,20.53,108.22,80.4,216.47
277.85,42.73,20.38,108.17,81.38,218.12
278.41,43.01,20.17,107.15,81.11,217.11
277.42,42.77,19.42,109.41,80.97,215.23
279.14,43.24,19.65,110.97,81.58,216.29
279.52,43.56,19.92,111.59,81.65,217.05
279.32,43.58,19.86,112.36,81.82,217.61
279.2,43.72,20.98,112.17,82.05,218.05
278.68,43.29,21.33,112.03,81.99,218.74
280.42,43.74,19.65,112.53,83.59,219.44
279.4,43.96,19.02,112.26,84.81,218.41
279.02,43.88,18.44,111.7,84.62,219.82
277.33,43.63,18.42,111.75,83.45,219.23
275.01,43.13,18.44,110.39,81.3,216.79
274.46,43.23,18.94,110.51,81.04,227.82
278.44,44.73,19.39,112.83,83.53,229.69
279.49,45.23,18.89,113.62,83.66,232.96
281.34,45.43,19.26,114.5,84.54,236.38
281.16,45.93,19.33,114.59,84.31,233.84
281.31,46.53,18.36,115.91,85.62,233.6
282.33,47.01,17.97,117.57,87.11,236.59
282.4,46.63,17.83,117.65,88.09,237.05
281.55,47.04,18.24,117.52,89.86,236.98
284.73,48.77,18.27,120.22,90.96,239.54
279.25,47.76,17.64,117.05,88.24,237.56
279.04,47.19,17.36,117.66,88.71,236.97
281.12,46.7,17.85,117.91,89.19,239.07
279.65,47.12,18.32,116.77,88.29,239.41
280.71,47.18,18.57,116.93,88.67,241.22
282.48,47.49,18.66,117.94,89.04,242.14
285.83,47.81,19.28,119.02,90.71,244.19
285.97,48.51,19.06,119.19,90.7,240.5
286.42,48.84,19.45,119.97,91.04,242.48
287.18,48.92,17.85,119.36,90.94,244.4
288.57,49.25,18.33,119.89,91.86,245.87
288.79,50.03,18.21,119.93,92.49,246.52
287.31,49.88,18.15,119.28,91.79,244.91
288.29,50.16,18.4,120.19,92.37,245.61
288.21,49.74,17.89,120.33,92.2,241.24
290.16,49.72,17.85,120.95,92.15,241.95
289.97,49.81,17.76,121.05,92.24,246.33
290.16,49.81,18.22,120.77,93.15,245.34
289.45,50.78,18.08,121.77,93.24,245.56
290.02,50.97,18.22,123.37,93.08,245.81
290.27,51.13,17.52,123.76,94.37,243.42
292.88,51.87,17.59,125.44,96.19,245.58
292.23,51.79,17.24,125.01,95.09,247.96
292.05,51.32,16.51,129.15,95.11,245.6
293.41,51.08,15.68,129.89,97.53,243.82
293.87,51.15,16.1,129.77,96.92,244.28
294.02,50.17,15.91,130.6,96.33,245.53
291.81,52.63,15.6,127.88,95.58,241.59
291.18,52.29,16.27,126.21,95.04,242.69
294.03,52.94,17.0,128.9,98.12,244.62
292.82,52.12,17.02,128.15,97.53,244.23
287.93,50.72,16.47,125.52,96.05,240.18
287.53,50.73,16.32,125.51,95.89,241.34
286.66,50.18,16.13,125.5,94.99,243.47
288.1,49.3,15.97,127.13,94.5,247.02
280.86,46.43,15.13,123.35,91.13,241.92
283.4,47.17,15.49,124.73,92.01,242.73
285.06,47.73,15.46,126.02,93.56,244.67
287.7,47.52,15.22,128.93,95.38,247.44
285.84,47.25,14.07,128.07,93.45,248.35
283.95,45.77,13.69,126.22,92.95,248.9
286.51,46.65,13.67,126.9,92.88,249.93
285.63,45.7,12.85,127.67,92.98,249.51
282.14,44.92,13.03,126.18,90.77,248.53
282.78,44.74,12.71,126.24,91.16,247.3
280.15,44.56,12.58,126.16,91.82,246.31
278.27,44.35,12.66,124.94,90.96,240.69
279.03,44.58,12.55,125.73,90.82,241.54
275.27,43.77,12.34,123.68,88.75,239.58
274.57,43.33,11.93,119.84,84.63,241.07
280.53,44.91,12.91,123.16,86.48,245.61
282.96,45.64,13.11,125.83,86.93,247.96
284.8,46.31,13.73,127.82,87.72,251.21
287.65,47.54,13.63,131.4,90.2,256.01
288.97,48.15,14.19,132.6,93.03,256.85
288.9,48.7,14.47,132.1,93.19,257.11
288.39,48.55,13.95,131.49,92.77,257.23
289.58,48.54,14.26,132.32,93.52,259.71
289.26,48.19,14.33,132.45,93.48,260.15
289.37,48.47,15.0,132.85,94.3,261.43
292.4,49.61,14.98,135.16,95.07,262.74
293.06,49.47,15.1,135.69,95.44,263.66
295.86,49.87,14.64,136.95,95.91,267.35
294.0,49.7,14.79,136.97,95.57,266.13
293.64,49.65,14.91,137.78,95.7,266.77
290.76,48.89,14.65,133.43,93.91,266.36
290.47,49.95,14.62,133.93,94.89,264.41
291.5,49.94,14.86,134.15,95.21,265.58
293.0,49.48,14.9,133.96,94.68,264.26
295.66,50.39,15.14,135.68,96.11,263.55
296.43,50.68,14.97,136.58,96.72,265.47
298.8,51.1,15.66,137.46,96.95,269.14
298.46,51.06,15.54,137.06,97.15,268.25
296.82,50.01,15.36,136.96,97.62,269.4
297.19,50.31,15.34,136.46,99.42,269.97
298.61,50.81,15.93,137.85,100.87,271.42
299.31,50.44,15.91,138.4,100.05,276.54
300.65,50.83,16.34,138.9,100.55,279.44
300.75,51.3,16.9,138.9,101.05,280.58
299.71,51.13,16.83,137.08,100.5,280.65
297.74,50.84,16.99,136.27,99.6,281.56
298.83,51.42,16.9,136.42,98.9,282.91
297.17,50.65,17.21,136.62,98.23,281.51
297.9,51.81,17.05,138.43,99.28,280.17
300.03,52.21,17.34,139.29,99.72,280.1
301.44,52.17,17.66,140.72,100.04,280.83
300.0,51.76,15.25,140.19,98.69,279.8
302.01,51.94,15.2,141.34,97.15,281.37
301.46,52.42,15.72,141.03,95.62,280.13
300.72,52.2,16.15,140.35,94.93,279.5
297.43,53.26,16.11,136.27,93.34,275.63
294.84,52.11,15.59,138.06,92.77,274.57
292.62,51.01,15.62,136.9,91.16,272.5
283.82,48.34,15.22,132.21,88.26,265.1
287.8,49.25,15.38,134.69,89.39,269.31
287.97,49.76,15.56,135.28,89.67,274.3
293.62,50.86,15.89,138.89,91.64,274.8
291.62,50.25,15.67,137.71,90.38,273.94
288.07,50.12,15.27,135.79,89.25,271.31
292.55,52.24,15.67,138.6,91.22,276.26
283.9,50.69,14.64,133.98,88.15,268.15
284.65,50.44,14.38,133.68,88.81,271.52
288.85,51.63,14.66,136.13,89.63,274.1
292.33,52.59,15.12,138.41,90.81,275.61
290.09,52.59,15.06,137.26,90.07,272.97
292.45,53.16,14.72,138.79,91.18,275.68
292.36,53.12,14.81,137.78,90.28,279.92
284.85,50.66,14.09,133.39,87.48,274.01
288.0,51.62,14.33,135.45,88.44,278.46
286.87,51.04,14.27,135.74,88.09,292.38
288.89,51.38,14.37,135.56,88.21,294.49
292.58,52.25,14.78,138.12,89.32,296.57
292.45,52.19,15.04,137.86,88.81,294.76
290.74,51.43,15.0,136.04,89.49,292.05
294.04,52.3,14.71,137.63,90.03,296.12
297.82,53.32,15.31,140.05,92.04,296.97
298.05,53.32,15.16,139.1,91.68,303.76
298.2,53.54,15.45,137.52,91.57,299.0
298.13,54.18,15.7,136.08,91.03,297.0
300.25,55.9,16.47,136.12,91.15,290.69
301.29,55.77,16.39,137.52,92.18,289.89
301.09,54.69,16.35,137.32,91.97,291.9
300.16,54.98,16.19,136.33,90.39,288.69
300.92,55.18,16.32,137.39,91.13,291.41
301.1,55.69,16.23,138.52,90.87,292.43
301.08,55.24,16.44,141.07,91.08,287.83
298.28,54.43,16.04,139.44,89.71,286.36
298.21,54.68,16.08,139.14,89.27,287.57
295.87,54.42,14.88,137.38,87.08,287.91
297.62,55.26,15.25,139.36,88.42,288.51
297.0,54.97,16.17,139.54,86.99,288.26
295.4,54.71,16.14,137.73,86.27,285.95
296.77,55.99,16.06,139.03,86.8,288.11
293.24,56.15,16.31,137.07,86.78,283.93
288.06,54.74,16.21,134.65,85.66,285.11
290.42,55.21,15.54,136.28,86.22,289.0
294.35,56.75,15.43,138.12,86.98,291.67
293.08,56.77,15.85,137.12,86.63,293.41
288.53,56.1,16.0,135.67,85.28,291.89
291.27,56.76,16.3,138.24,86.1,296.9
293.24,57.52,16.32,139.1,86.01,297.14
296.28,59.05,16.53,139.68,86.6,297.6
295.95,58.97,17.13,139.55,86.82,297.52
298.88,58.83,17.19,141.57,88.37,298.39
298.4,58.59,17.32,140.41,88.87,298.78
299.28,58.82,17.46,139.69,89.37,302.4
297.97,59.1,17.13,137.41,87.88,302.86
299.99,60.13,16.9,138.43,89.28,301.08
299.01,59.99,17.04,136.37,88.29,299.97
299.88,60.8,16.98,137.24,88.11,297.32
300.37,60.9,19.98,139.94,89.04,297.05
301.6,61.65,21.88,140.73,88.07,296.5
303.3,62.26,21.85,144.19,88.85,298.94
303.21,60.82,21.08,142.83,88.14,295.86
304.14,60.82,21.0,144.61,89.0,299.84
303.33,62.19,20.99,143.37,88.83,297.11
306.14,63.96,20.89,143.72,89.57,296.09
307.37,64.38,21.16,144.55,90.23,296.82
307.03,64.28,21.15,144.46,90.09,299.18
307.1,64.31,21.77,144.06,89.79,301.57
308.18,64.86,22.37,144.26,89.41,305.21
308.94,65.04,22.48,145.96,89.29,302.62
308.35,65.55,23.01,146.11,88.58,300.84
309.0,65.49,23.33,147.07,88.9,300.5
309.1,66.12,23.07,147.31,87.66,302.9
309.55,65.66,23.29,148.06,87.73,304.59
311.79,66.44,23.48,149.97,86.97,303.66
312.02,66.78,23.33,150.34,87.63,304.54
311.93,66.57,23.97,150.39,87.64,302.24
310.77,65.8,23.48,149.62,87.28,300.57
310.27,65.5,23.66,149.48,86.74,300.27
310.96,65.44,22.2,149.59,87.29,299.31
313.37,66.59,22.42,151.23,88.69,299.05
314.08,66.07,21.93,152.03,89.85,301.24
315.48,66.96,22.09,152.32,90.93,300.76
314.31,66.81,22.0,151.38,90.04,299.81
311.64,66.04,22.32,149.55,89.08,297.39
309.55,64.86,22.41,149.31,88.5,295.67
311.46,65.44,22.2,149.85,88.03,296.52
312.02,66.4,22.02,149.93,87.02,293.1
314.87,67.68,22.39,151.75,87.58,294.95
313.88,66.73,22.64,151.75,87.48,295.16
313.53,67.12,23.26,151.13,86.96,295.78
314.42,67.69,23.51,151.7,87.44,295.3
317.13,67.86,23.98,153.24,88.02,297.34
317.32,68.79,23.89,154.53,88.05,291.87
319.5,69.97,25.43,155.53,88.46,293.5
319.57,70.1,25.27,154.69,89.53,295.55
319.59,69.94,26.21,154.37,89.2,291.87
320.9,70.01,26.94,155.71,89.61,293.71
320.73,69.86,27.04,157.41,89.33,294.83
321.22,71.0,27.95,157.41,89.65,293.31
321.23,71.07,28.35,157.38,89.46,294.23
322.94,72.48,28.73,158.67,93.44,295.73
322.86,72.45,28.69,158.96,93.49,294.11
321.08,72.88,27.65,157.59,92.34,295.14
321.86,73.41,27.89,157.7,92.39,293.92
324.87,75.09,28.68,160.62,94.9,291.49
322.41,74.36,29.53,158.62,93.75,291.73
323.64,74.95,30.1,159.03,95.14,291.81
322.73,74.6,31.27,157.58,95.34,291.35
324.45,75.8,32.81,160.09,94.6,294.69
326.65,77.41,32.09,162.09,95.05,299.42
